agent-action,agent-action-update,map-update,reward,sum
212,125,68,43,448
203,130,70,45,448
207,119,67,49,442
203,127,69,44,443
205,121,69,43,438
209,123,69,46,447
207,125,71,43,446
205,123,72,47,447
209,123,68,45,445
203,128,69,44,444
210,124,72,44,450
203,123,70,43,439
203,122,68,45,438
209,122,72,45,448
206,124,69,46,445
204,130,74,47,455
212,118,71,45,446
207,127,70,44,448
204,124,71,44,443
205,126,71,48,450
210,123,68,44,445
203,119,71,46,439
212,120,65,49,446
204,124,70,43,441
207,119,74,44,444
210,124,73,46,453
211,126,68,43,448
205,120,74,46,445
211,124,67,52,454
205,125,70,44,444
208,126,71,49,454
209,121,71,49,450
208,122,68,43,441
212,119,73,45,449
209,127,71,48,455
211,124,72,46,453
207,119,72,44,442
208,118,71,44,441
206,125,69,43,443
203,123,77,47,450
205,121,72,44,442
200,121,71,45,437
206,121,71,53,451
204,122,71,48,445
206,123,71,46,446
208,118,72,56,454
204,123,71,43,441
209,117,72,48,446
208,119,67,45,439
201,126,68,53,448
210,117,75,44,446
210,118,68,46,442
205,124,70,43,442
208,122,70,46,446
209,118,69,43,439
203,126,68,49,446
209,119,70,53,451
227,133,74,54,488
220,135,76,43,474
208,121,74,43,446
221,128,69,50,468
206,122,72,43,443
208,124,69,43,444
208,122,72,50,452
203,126,69,43,441
225,137,77,44,483
210,123,72,52,457
225,131,68,48,472
204,123,67,48,442
220,125,75,44,464
211,123,70,45,449
204,127,69,46,446
209,121,72,43,445
205,123,68,44,440
205,127,69,43,444
206,125,74,44,449
213,120,71,43,447
198,125,71,44,438
208,121,73,46,448
203,122,72,43,440
206,124,70,43,443
204,120,74,49,447
203,128,69,43,443
211,117,77,43,448
212,135,72,49,468
199,128,72,44,443
208,123,72,43,446
206,116,73,46,441
206,122,69,47,444
208,121,74,47,450
210,126,69,50,455
205,127,72,45,449
212,121,73,42,448
207,121,72,48,448
209,126,71,47,453
210,119,75,43,447
210,121,68,46,445
201,122,72,47,442
210,119,70,43,442
207,119,72,49,447
208,126,68,43,445
207,119,72,45,443
208,122,67,43,440
205,124,71,44,444
208,122,69,49,448
203,123,71,45,442
210,126,71,44,451
206,123,72,52,453
208,123,68,43,442
211,136,76,48,471
205,125,69,48,447
223,134,78,51,486
208,124,69,44,445
210,124,76,44,454
205,122,70,45,442
198,124,72,44,438
206,119,69,46,440
200,122,70,47,439
206,119,70,44,439
204,119,70,49,442
201,123,68,45,437
207,117,73,49,446
210,120,71,47,448
206,122,69,49,446
212,117,71,43,443
206,119,69,46,440
209,122,69,46,446
215,118,69,48,450
210,125,69,46,450
208,124,69,46,447
213,120,75,45,453
205,121,68,46,440
210,122,68,49,449
209,119,68,54,450
211,121,72,44,448
214,122,69,47,452
208,120,70,51,449
200,123,68,53,444
229,134,76,43,482
207,123,72,46,448
210,121,71,43,445
203,124,69,48,444
209,118,72,46,445
202,124,68,48,442
207,123,69,45,444
209,121,70,50,450
206,128,73,44,451
206,122,69,47,444
214,123,70,47,454
200,124,71,49,444
208,121,76,44,449
210,118,69,48,445
207,127,69,43,446
213,118,71,46,448
213,119,71,48,451
204,122,68,47,441
210,119,70,48,447
209,123,68,49,449
210,123,69,46,448
207,120,70,46,443
213,123,69,43,448
209,124,67,47,447
210,132,77,50,469
230,132,73,50,485
208,120,67,51,446
216,128,71,44,459
214,125,70,44,453
208,123,72,43,446
209,123,69,44,445
210,118,73,47,448
213,127,68,46,454
203,124,73,44,444
210,119,68,48,445
205,124,73,46,448
207,123,71,43,444
208,118,70,50,446
206,126,68,45,445
210,119,73,45,447
212,123,72,47,454
204,126,72,44,446
210,121,73,43,447
208,123,70,49,450
210,123,69,42,444
210,123,74,46,453
206,120,69,44,439
206,124,71,47,448
208,117,73,43,441
213,117,67,50,447
203,125,70,46,444
210,119,72,49,450
214,126,70,44,454
200,123,69,49,441
211,123,73,44,451
206,118,69,49,442
210,122,68,43,443
214,118,69,49,450
208,119,66,43,436
205,136,72,48,461
210,119,75,50,454
220,123,70,45,458
211,127,70,42,450
209,123,73,45,450
209,124,72,43,448
203,123,70,45,441
210,117,69,44,440
209,120,72,48,449
207,123,69,44,443
204,119,68,52,443
208,121,69,48,446
214,124,71,48,457
209,120,73,49,451
210,123,70,49,452
210,128,69,43,450
207,124,68,52,451
210,125,72,48,455
215,122,69,45,451
208,121,68,48,445
212,127,72,47,458
210,122,73,46,451
203,121,71,50,445
204,123,69,48,444
209,125,71,46,451
207,123,71,49,450
205,128,71,49,453
207,120,70,44,441
207,126,71,50,454
212,121,68,44,445
209,118,70,48,445
209,120,67,46,442
209,127,68,48,452
209,117,75,43,444
207,121,68,51,447
206,126,70,43,445
209,120,74,48,451
206,121,68,43,438
210,122,68,48,448
213,121,71,47,452
208,121,67,48,444
205,123,69,47,444
210,119,70,48,447
208,119,68,43,438
203,124,67,45,439
210,123,68,50,451
204,125,69,44,442
206,126,70,43,445
211,122,66,49,448
198,125,69,47,439
206,119,69,44,438
204,120,66,46,436
208,124,69,43,444
211,120,71,48,450
212,120,68,43,443
202,127,69,46,444
211,120,72,45,448
207,119,67,43,436
204,123,69,47,443
214,120,71,50,455
207,118,69,43,437
207,122,67,42,438
208,119,67,47,441
212,122,68,43,445
211,121,68,43,443
213,124,73,48,458
207,122,67,43,439
215,123,70,43,451
214,120,68,48,450
211,129,69,43,452
207,122,73,44,446
216,121,69,48,454
206,125,69,43,443
213,121,70,43,447
210,122,69,47,448
208,127,70,46,451
213,121,75,44,453
214,123,72,49,458
203,125,70,43,441
210,124,71,43,448
205,118,70,43,436
204,123,71,43,441
209,121,73,43,446
212,133,71,43,459
206,124,70,44,444
214,119,75,43,451
219,132,70,49,470
205,126,70,49,450
218,120,71,43,452
215,125,69,49,458
201,132,76,52,461
226,132,72,43,473
209,119,77,52,457
214,126,73,43,456
203,129,69,46,447
217,121,73,48,459
207,120,68,48,443
206,128,74,44,452
211,125,76,47,459
211,118,71,43,443
208,122,68,49,447
218,133,79,48,478
219,126,78,48,471
209,127,71,46,453
205,130,74,45,454
212,127,72,50,461
208,119,72,44,443
210,122,68,43,443
211,119,74,46,450
209,121,69,44,443
209,124,73,45,451
210,117,68,48,443
208,125,74,44,451
219,130,69,44,462
209,122,73,46,450
213,120,71,46,450
212,126,70,44,452
209,122,71,48,450
205,126,70,49,450
206,127,70,43,446
206,123,72,46,447
207,129,70,49,455
207,125,72,44,448
300,154,79,47,580
237,129,71,46,483
213,119,70,47,449
218,123,68,45,454
212,125,70,47,454
215,122,69,50,456
209,127,71,45,452
212,125,69,46,452
206,122,69,48,445
215,124,68,46,453
215,124,71,44,454
217,122,72,51,462
202,124,70,43,439
211,130,71,47,459
207,123,73,50,453
211,122,71,49,453
207,130,71,45,453
214,120,71,46,451
203,130,70,45,448
209,127,69,45,450
242,126,72,45,485
237,129,75,51,492
235,154,81,54,524
218,124,71,44,457
228,143,74,67,512
230,128,70,44,472
214,119,72,50,455
222,127,71,45,465
213,129,91,59,492
210,124,69,48,451
211,122,71,44,448
210,123,71,45,449
209,123,69,49,450
218,130,72,47,467
211,126,76,45,458
216,123,78,46,463
207,133,71,44,455
212,119,69,49,449
223,124,67,47,461
