agent-action,agent-action-update,map-update,agent-reward,step
189.399,170.872,70.929,68.631,757.094
187.081,170.776,71.345,68.421,756.721
178.985,171.455,70.214,68.525,747.517
172.936,233.76,72.19,68.648,808.396
193.829,171.65,71.652,68.283,763.792
189.73,171.082,72.123,68.09,760.182
184.385,170.144,70.064,68.316,749.488
179.517,234.931,71.573,68.218,812.633
134.638,231.68,70.806,68.419,763.703
135.544,233.083,71.085,68.729,767.145
195.146,173.159,71.609,68.549,764.447
192.405,173.156,70.698,67.985,762.096
188.92,172.141,70.463,69.191,759.553
182.027,172.38,71.509,68.542,751.797
177.27,172.809,73.061,67.519,785.704
189.878,169.917,70.853,67.429,755.43
183.495,170.776,71.569,69.901,754.527
179.062,170.612,72.637,68.192,752.235
169.885,230.733,72.403,67.821,799.543
191.473,170.853,70.482,68.018,759.18
184.875,171.182,70.598,67.308,750.354
179.019,171.275,71.522,68.168,748.029
173.686,230.456,70.565,67.94,801.38
136.025,227.767,70.843,67.764,760.736
188.578,168.426,70.683,67.961,754.878
185.208,169.145,69.949,67.591,752.034
183.413,170.355,71.537,68.188,746.716
175.695,230.881,72.006,68.99,805.144
194.147,175.613,71.294,68.816,770.998
190.19,172.972,70.982,68.679,761.619
186.278,172.797,70.787,69.207,761.203
182.108,172.143,71.367,68.702,752.745
175.829,232.274,69.924,69.842,805.254
133.898,269.101,71.542,68.69,811.432
135.565,229.15,73.51,68.438,764.828
192.547,172.943,70.455,68.548,760.452
191.374,188.082,81.045,70.944,797.403
188.431,171.581,71.55,68.207,758.711
179.624,171.666,72.47,69.135,752.256
170.916,230.565,70.34,68.959,800.97
189.358,193.082,80.673,76.337,811.692
189.086,173.019,71.813,68.346,761.393
179.638,174.646,70.354,68.348,752.132
175.422,231.016,72.803,68.454,807.336
194.165,173.663,70.648,68.507,762.425
189.702,171.701,71.05,68.132,759.302
183.623,173.457,70.485,68.239,754.846
184.397,171.527,69.696,68.403,751.392
174.688,235.182,72.328,68.525,810.697
133.651,232.192,76.595,67.007,767.317
193.115,171.879,70.673,67.313,754.024
191.367,169.869,71.387,67.369,747.612
185.075,173.131,71.033,67.784,746.808
180.249,170.655,70.799,67.635,740.116
174.416,234.059,75.449,75.168,819.657
153.827,240.348,69.11,67.852,793.317
193.567,170.7,71.235,69.052,755.404
187.08,183.243,78.401,75.829,789.783
185.464,173.554,71.156,68.261,751.576
177.63,230.955,69.35,67.809,796.115
134.282,230.069,71.193,68.036,754.596
132.515,230.367,70.79,68.213,750.662
193.542,171.235,71.003,68.842,759.48
219.797,172.609,70.154,69.345,789.976
186.099,173.907,71.51,68.128,751.602
175.057,232.737,70.454,68.721,797.063
133.702,230.916,70.189,68.042,752.748
192.314,171.224,70.271,68.355,750.012
215.495,181.36,71.159,68.424,799.446
184.601,171.481,72.891,68.281,747.368
176.262,236.075,70.58,67.943,801.851
133.824,230.493,69.807,68.313,750.796
133.938,232.069,71.165,68.219,755.43
196.257,169.114,71.178,68.016,750.139
191.149,175.87,70.488,68.307,755.742
184.139,169.94,70.591,68.693,743.587
178.297,170.967,71.329,67.997,742.7
174.04,228.803,71.555,69.113,793.519
195.204,170.213,70.808,68.115,749.85
191.377,169.685,69.944,68.397,748.79
192.077,171.058,71.066,67.939,751.031
181.819,169.01,69.334,68.381,739.406
175.55,235.261,71.084,68.055,802.219
132.955,233.689,71.306,68.656,754.316
132.766,233.648,71.378,68.5,757.623
189.756,172.679,73.35,67.345,753.835
186.876,170.986,70.11,67.093,752.407
177.997,170.367,69.44,67.456,744.159
174.3,228.974,69.68,67.26,800.097
189.289,169.874,69.596,67.262,752.115
187.265,169.819,71.378,67.79,754.546
177.936,191.788,74.674,68.211,774.587
176.27,228.16,71.09,67.991,802.05
188.547,170.851,70.67,67.652,754.983
189.136,170.319,71.738,67.519,757.748
177.285,170.479,71.571,67.667,745.146
174.124,228.871,70.474,67.548,799.262
193.816,169.699,69.86,67.62,755.457
190.961,171.731,72.435,67.942,762.98
183.322,170.573,71.112,67.72,749.661
182.775,171.693,72.225,68.282,755.485
174.927,231.146,71.133,67.927,803.249
134.435,229.019,69.353,67.929,757.404
193.005,171.372,71.118,68.597,759.893
210.403,186.046,69.944,68.212,803.189
191.609,172.082,72.585,73.787,779.408
217.593,173.251,72.504,68.018,798.481
174.909,234.493,71.501,69.319,808.735
136.282,232.502,70.344,68.123,766.798
192.731,171.71,72.201,68.999,761.134
189.206,171.933,70.795,68.185,758.305
181.211,171.953,74.345,71.182,757.104
174.373,233.067,70.672,68.485,804.631
133.943,235.94,72.329,68.786,769.594
135.775,228.464,70.494,68.24,760.912
189.423,171.294,72.908,68.152,759.829
184.7,168.424,69.553,68.047,749.943
178.926,170.968,73.027,68.301,751.258
174.26,231.227,72.259,69.458,806.669
194.399,172.093,70.813,68.438,762.967
192.252,170.685,72.768,67.502,761.792
185.948,170.403,70.522,67.096,752.427
180.989,170.767,70.959,67.76,748.243
