agent-action,agent-action-update,map-update,agent-reward,step
193.422,268.598,87.809,86.163,934.378
152.687,261.707,88.409,85.935,878.501
209.815,200.021,88.956,85.641,874.707
207.752,199.869,90.16,85.104,873.549
204.004,199.796,88.458,84.981,867.176
195.304,259.472,85.795,85.223,912.161
152.379,260.003,87.348,85.296,872.826
152.499,260.427,87.54,85.144,875.292
214.111,236.281,89.011,85.138,910.603
208.979,201.824,89.118,85.947,873.827
206.079,197.617,86.702,85.417,863.821
196.95,213.088,92.657,86.374,881.34
192.218,300.317,91.245,87.227,965.454
157.037,261.926,86.87,87.548,884.052
214.365,195.311,102.416,87.415,891.247
214.246,209.528,90.143,85.991,892.074
211.609,198.743,86.292,85.624,867.82
199.476,198.524,87.327,85.338,859.618
193.844,267.287,88.125,86.085,922.79
150.223,261.462,86.686,86.839,876.571
249.634,202.882,90.03,87.663,931.74
205.661,223.18,100.387,92.488,927.916
244.068,197.665,89.022,86.27,911.228
203.509,270.901,86.856,86.3,945.383
152.243,300.166,96.694,92.818,960.675
171.808,285.354,87.905,85.675,927.781
243.213,200.609,87.07,84.866,916.713
212.681,197.742,88.117,84.655,868.471
204.67,196.999,87.19,84.505,862.268
198.695,197.037,87.718,85.229,855.965
193.735,301.229,92.272,89.08,981.221
168.415,291.316,88.787,86.558,935.041
150.757,296.47,87.104,86.615,918.413
243.558,210.67,99.802,90.535,949.835
206.037,198.28,86.47,85.17,866.029
201.617,198.343,88.317,89.083,871.325
237.259,294.042,96.702,87.552,1014.25
154.446,272.488,93.379,92.539,906.75
157.998,283.256,91.597,88.583,923.332
209.534,201.658,92.184,89.818,889.97
205.872,200.872,88.499,85.479,871.627
198.833,196.582,87.224,85.829,855.304
191.762,263.041,86.58,87.196,917.262
156.256,268.644,86.865,85.874,893.871
215.528,200.178,90.097,89.546,882.113
212.106,196.816,86.608,85.486,866.232
204.249,196.278,86.997,86.266,861.002
208.942,198.058,87.5,85.34,866.39
197.284,197.045,86.026,85.554,854.537
189.498,268.03,87.789,86.187,918.354
210.796,197.33,87.569,86.767,867.523
205.714,197.249,90.32,86.217,876.233
200.507,216.028,97.809,93.574,912.037
223.067,283.422,101.805,96.437,1012.801
155.562,261.018,88.141,85.878,877.571
164.534,280.641,87.289,87.061,921.362
209.962,197.61,89.932,85.644,873.738
233.491,198.898,90.049,85.783,906.95
195.548,196.723,87.227,84.646,851.625
189.395,259.154,88.101,84.836,911.217
248.022,198.677,87.977,85.601,910.952
207.87,196.438,88.677,90.857,882.441
247.22,196.503,87.713,85.555,918.317
204.34,196.35,86.425,85.453,860.204
195.703,258.091,85.396,84.622,913.769
156.089,259.883,88.491,85.382,878.938
150.935,268.78,88.457,85.448,881.126
212.814,198.446,87.662,85.161,869.118
209.467,197.498,88.668,84.91,864.384
203.771,198.553,87.388,88.328,869.379
196.096,195.412,86.567,88.063,850.864
189.279,258.226,88.259,86.217,908.216
210.966,195.868,85.768,85.429,862.893
202.669,195.943,86.613,85.057,859.328
198.141,199.42,86.839,84.906,854.574
193.159,256.969,86.511,84.82,907.997
211.607,199.864,89.464,85.541,869.711
205.272,195.354,86.077,86.023,858.221
201.863,196.704,89.123,85.813,861.17
199.894,196.149,86.353,85.078,851.888
191.939,259.929,87.848,85.137,918.355
154.095,257.346,86.609,86.374,871.305
209.332,196.588,87.224,85.542,862.036
206.961,196.409,85.489,84.793,858.678
202.291,196.192,87.316,85.192,857.048
199.929,198.178,86.59,85.428,855.975
192.615,257.814,85.381,84.792,905.219
151.13,257.467,86.129,87.042,865.673
212.476,196.733,87.877,84.999,863.942
204.698,198.535,87.122,84.825,859.565
207.074,198.471,86.895,85.04,863.59
192.235,258.018,88.642,83.851,909.103
150.034,260.786,86.34,85.113,869.458
150.277,254.098,87.972,84.212,863.211
204.124,196.071,88.083,85.996,858.635
204.611,194.966,86.339,84.93,856.338
200.078,209.255,92.073,94.934,902.452
224.425,289.261,87.298,85.565,983.66
251.121,195.754,88.802,85.449,918.397
259.268,202.589,89.591,85.662,932.876
202.083,215.491,95.579,93.366,914.737
227.859,197.129,88.161,85.267,900.414
193.643,197.083,97.055,95.894,924.058
223.958,211.562,95.138,101.501,937.257
262.571,233.18,93.133,90.794,987.893
226.207,202.181,88.804,86.956,911.365
213.805,256.83,87.47,86.136,942.043
225.174,196.947,89.925,87.543,894.094
238.326,212.437,95.233,91.521,936.273
207.618,201.519,88.544,86.464,880.968
212.13,261.226,88.31,89.913,965.649
186.079,331.165,91.9,87.127,1003.294
259.068,204.238,89.41,87.713,947.955
254.556,200.831,110.477,102.291,982.984
216.642,220.199,98.956,95.255,937.83
196.677,259.634,87.977,87.14,922.201
151.293,260.755,88.962,87.743,878.064
217.061,219.638,89.028,86.67,912.888
212.818,200.275,88.679,87.08,877.331
206.432,197.762,89.157,85.75,868.011
199.43,197.144,86.745,88.525,860.887
193.405,259.794,88.114,86.088,914.664
150.792,273.066,89.923,88.073,890.167
219.004,206.124,89.266,87.865,895.988
210.57,203.483,90.037,87.697,883.262
203.088,199.152,88.099,85.838,865.546
195.254,263.853,93.132,84.257,925.659
153.117,261.868,86.077,89.763,871.349
152.854,257.943,86.937,84.921,861.924
212.284,195.339,86.536,87.336,856.014
210.845,202.783,88.208,86.997,872.332
209.013,200.418,87.886,86.311,865.489
201.013,202.968,89.115,85.999,866.418
192.24,257.691,86.996,85.047,902.701
210.676,197.727,88.477,85.233,856.963
208.45,196.823,86.55,93.669,889.418
273.351,223.663,98.727,97.305,1012.36
244.143,241.383,93.857,91.555,978.169
210.606,323.195,102.885,96.924,1035.659
173.347,281.812,94.601,89.975,932.773
158.593,279.53,92.253,91.503,914.677
221.828,205.147,90.73,88.188,894.893
211.372,204.876,104.366,93.653,911.089
203.414,240.65,93.152,90.205,943.728
256.676,274.968,96.641,90.017,1023.514
216.61,202.399,89.907,86.338,879.856
207.886,200.778,88.685,88.136,873.94
215.611,215.569,93.149,88.97,914.408
194.908,264.092,89.054,86.556,918.291
258.842,204.018,90.949,112.051,960.913
224.974,216.612,93.617,88.596,944.284
215.491,208.318,97.826,95.14,914.95
221.753,201.839,89.187,86.627,885.075
192.806,290.846,100.244,89.876,962.147
155.558,262.012,89.108,86.51,876.136
214.426,204.874,88.444,86.224,876.713
209.993,197.156,86.748,86.143,858.941
205.638,198.178,87.588,86.313,856.344
202.371,199.241,88.052,85.851,858.335
198.175,262.862,88.168,85.835,913.687
153.402,261.252,86.977,93.312,879.706
227.237,199.299,91.268,84.871,889.756
207.599,208.214,88.795,90.748,889.351
203.649,201.026,87.199,89.852,880.139
203.937,260.94,88.577,84.745,925.491
156.083,257.933,87.125,84.711,873.235
208.432,197.364,86.674,84.977,861.181
202.826,196.358,86.184,84.822,857.979
197.99,196.168,86.866,85.078,851.218
191.621,262.118,87.781,86.575,914.495
152.586,256.787,88.03,86.182,870.407
212.315,198.955,87.075,86.022,868.616
207.298,198.098,86.984,85.472,865.553
201.932,196.304,87.647,85.161,857.459
196.192,200.501,86.996,85.094,860.117
195.254,256.749,87.188,85.063,909.91
150.694,263.562,88.522,85.326,874.363
210.756,196.125,97.933,90.294,879.28
211.503,196.623,88.55,86.03,868.227
205.141,196.568,86.45,84.791,859.493
198.605,206.691,92.877,86.046,872.724
201.247,197.296,86.944,86.775,895.757
207.983,195.363,86.886,85.762,861.746
203.183,197.649,86.385,85.812,860.927
200.045,207.877,96.693,87.373,883.746
193.219,267.883,87.85,86.235,923.564
151.786,260.265,86.933,85.611,868.689
211.007,197.122,86.949,92.98,874.576
205.795,208.472,98.774,96.501,907.253
209.694,212.297,90.33,85.762,895.965
202.386,259.756,85.381,85.227,917.356
151.214,259.604,85.817,85.359,865.852
151.925,260.151,87.106,85.519,872.716
212.886,205.178,88.28,85.723,887.196
212.93,201.18,87.541,85.816,878.358
203.62,201.443,90.34,92.029,884.485
216.609,196.794,86.306,90.364,880.864
194.152,258.617,89.673,84.404,914.297
150.828,255.627,88.021,84.706,865.094
218.881,197.454,88.14,84.302,872.692
206.961,197.997,87.152,84.291,860.337
203.804,201.155,87.707,84.514,862.384
197.924,196.33,87.015,84.725,850.397
191.227,256.859,90.521,84.746,908.99
152.153,257.366,86.594,85.131,866.614
208.613,196.732,86.593,84.306,860.148
207.502,196.705,84.855,88.152,861.148
198.015,196.533,85.695,89.316,860.242
196.887,260.783,86.751,84.652,918.257
150.559,257.024,87.35,84.9,863.815
161.463,262.453,88.232,87.643,892.973
206.899,196.684,86.483,84.905,857.753
203.641,197.814,86.619,85.849,861.717
195.879,197.391,86.037,84.764,848.571
190.241,257.02,90.847,88.633,916.838
228.155,210.784,91.392,91.102,923.912
223.192,208.516,90.782,91.825,918.518
216.599,211.361,92.613,90.746,918.757
214.462,208.364,91.896,90.404,909.052
208.834,278.08,94.061,90.962,977.376
163.594,274.734,93.775,91.532,927.621
160.645,278.169,92.565,90.755,928.577
224.458,211.137,93.898,93.952,925.807
217.152,208.721,93.727,89.732,942.809
215.264,204.847,91.294,89.037,897.999
205.045,206.728,91.208,90.085,892.419
200.723,267.449,90.442,88.831,947.529
219.57,207.433,92.501,94.19,913.443
215.099,207.944,90.577,91.645,907.235
208.031,207.884,90.976,89.506,889.672
202.856,269.732,90.896,89.599,944.686
221.492,205.826,90.899,88.993,894.4
215.617,211.162,93.772,88.848,901.869
228.643,206.394,90.378,88.602,911.041
205.881,203.408,91.708,88.431,879.206
200.992,273.01,96.689,92.266,952.463
158.58,268.214,90.281,88.087,896.363
225.602,214.697,90.575,87.916,914.465
219.435,204.635,90.657,88.948,895.821
216.759,217.022,97.095,92.533,914.39
230.551,207.375,90.049,89.661,914.201
202.422,269.718,89.604,88.208,947.683
161.745,268.434,91.377,88.439,900.061
160.209,274.561,92.502,89.32,907.026
216.316,207.0,91.725,88.706,896.416
212.49,206.65,93.521,88.972,891.887
207.316,207.953,92.751,94.505,897.982
200.386,270.073,91.575,90.813,944.219
217.78,206.166,91.732,88.294,895.047
214.121,209.347,92.683,88.651,896.346
228.555,208.323,92.479,92.193,914.476
203.639,270.402,91.97,89.269,948.224
158.779,271.007,92.583,88.739,911.331
159.087,268.664,88.878,89.036,896.685
224.036,218.753,91.972,89.374,912.87
216.994,209.5,92.074,88.916,900.998
212.883,207.908,91.763,88.96,901.756
234.9,206.62,92.928,89.32,916.424
204.785,273.333,91.287,93.171,955.396
159.048,271.229,91.791,89.053,904.5
164.587,271.253,90.235,88.86,906.423
220.547,207.156,92.419,89.906,901.598
213.85,205.95,90.485,89.61,890.47
205.849,209.067,92.569,88.779,891.475
199.533,269.126,91.833,88.931,940.525
218.858,215.365,91.353,89.968,908.223
214.446,206.837,90.641,89.733,893.561
206.843,205.946,94.795,88.326,892.696
202.605,269.497,91.619,88.5,953.621
173.81,271.965,92.948,90.081,930.609
219.189,205.662,90.341,88.168,907.008
211.313,208.573,92.403,87.873,900.643
218.851,206.44,91.498,87.913,905.03
206.836,268.178,90.468,89.124,955.399
159.43,271.51,91.777,88.644,920.104
221.521,204.956,89.783,88.183,903.632
222.027,207.802,92.179,88.783,921.907
212.953,205.7,91.636,88.871,900.191
210.548,216.696,90.842,89.337,909.645
204.888,206.634,92.241,88.481,931.162
217.38,206.781,100.698,89.295,914.072
215.437,207.586,90.948,90.38,903.831
206.156,206.299,90.042,88.481,898.687
200.406,268.53,90.803,88.792,950.052
217.298,207.614,91.545,89.403,906.82
223.734,208.088,91.831,88.977,912.868
205.837,207.294,90.391,89.082,893.927
201.19,271.622,92.416,89.027,964.997
220.901,206.717,91.719,88.897,908.403
215.978,221.205,92.771,90.464,920.639
210.865,206.651,90.796,88.973,897.716
204.465,279.597,91.212,90.015,968.327
160.231,269.431,91.653,89.471,916.349
160.085,276.352,93.359,89.917,920.038
223.769,207.376,91.095,90.049,911.793
218.448,206.812,91.419,88.865,908.95
215.129,206.762,91.003,89.17,904.08
210.247,206.786,91.488,89.336,898.759
208.813,272.86,91.95,89.559,966.066
159.817,273.761,91.862,89.429,915.394
159.625,271.277,91.648,89.53,914.4
220.047,207.484,92.593,89.025,910.401
213.506,209.914,95.465,89.134,909.86
204.426,205.78,89.706,87.866,888.316
199.816,267.988,90.457,88.504,949.109
217.696,205.721,91.098,92.255,907.838
213.826,205.586,89.999,91.54,901.994
207.824,205.882,91.916,88.78,891.581
200.395,269.603,91.596,88.516,948.74
165.402,271.599,91.825,88.811,918.206
217.147,205.947,90.21,89.491,903.008
212.807,207.1,90.85,88.861,904.615
206.193,211.468,91.627,88.85,901.942
201.255,273.203,93.526,89.491,957.82
222.283,207.767,91.081,89.076,910.919
219.283,208.711,90.899,90.095,910.657
215.388,207.046,93.894,90.081,909.38
210.831,205.754,92.159,91.268,901.784
204.271,270.355,91.037,90.531,957.276
158.967,275.777,91.652,89.282,919.828
160.789,271.943,92.163,89.104,914.243
217.422,206.739,91.591,89.205,906.539
220.181,208.555,90.389,89.67,914.691
208.521,207.639,91.061,89.294,899.493
201.669,269.724,91.116,89.252,954.97
217.647,211.745,91.561,90.36,915.149
215.163,210.331,91.761,91.289,910.618
207.033,207.367,91.708,89.549,898.588
203.925,272.435,90.569,90.124,959.547
221.17,208.458,92.909,89.094,913.79
217.127,208.449,91.719,93.583,912.067
211.685,208.592,92.778,90.428,912.617
206.567,272.645,90.242,89.911,961.955
160.283,271.961,92.489,89.65,914.94
160.35,273.722,93.067,92.018,919.2
227.345,209.079,91.253,89.703,917.618
218.23,207.538,91.176,89.375,908.372
214.31,208.384,94.609,89.389,908.069
209.88,209.561,96.358,88.965,905.932
202.141,275.805,91.376,90.054,955.956
160.449,271.091,91.406,88.897,904.996
220.379,205.868,93.517,88.743,903.392
221.314,207.383,91.731,88.183,901.469
215.371,208.145,91.271,89.267,898.244
209.827,206.612,90.322,88.478,887.121
204.041,271.563,91.953,88.823,950.938
162.831,273.969,91.286,89.612,909.067
221.387,207.567,92.625,89.009,903.188
214.862,208.49,92.876,88.71,897.92
211.029,207.431,90.957,88.734,890.288
205.238,273.859,91.136,89.857,952.901
158.808,271.011,91.09,90.544,903.746
160.314,269.751,92.455,89.706,908.47
160.984,272.973,92.445,89.0,907.884
